id,campaign,model,time
9997,2021_1H_BQmx_PRJ_HomeCinema 4K,W1700M,2021/6/18 02:01
9998,2021_1H_BQmx_PRJ_HomeCinema 4K,W1700M,2021/6/18 02:09
9999,2021_1H_BQmx_PRJ_HomeCinema FHD,TH585,2021/6/18 02:15
10000,2021_1H_BQla_LCD_Mobiuz,EX2510,2021/6/18 02:18
10001,2021_1H_BQla_LCD_Mobiuz,EX2510,2021/6/18 02:19
10002,2021_1H_BQla_ESD_e-Sports,XL2546K,2021/6/18 02:23
10003,2021_1H_BQla_ESD_e-Sports,XL2546K,2021/6/18 02:27
10006,2021_1H_BQla_ESD_e-Sports,XL2411K,2021/6/18 02:43
10007,2021_1H_BQla_ESD_e-Sports,XL2411K,2021/6/18 02:48
10008,2021_1H_BQla_ESD_e-Sports,XL2546K,2021/6/18 02:52
10009,2021_1H_BQla_LCD_Vertical,PD2700Q,2021/6/18 03:01
10010,2021_1H_BQla_LCD_Vertical,SW270C,2021/6/18 03:05
10011,2021_1H_BQla_LCD_Mobiuz,EX2510,2021/6/18 03:12
10012,2021_1H_BQla_LCD_Vertical,SW270C,2021/6/18 03:21
10013,2021_1H_BQmx_PRJ_HomeCinema FHD,TH585,2021/6/18 03:30
10014,2021_1H_BQla_LCD_Mobiuz,EX2510,2021/6/18 03:36
10015,2021_1H_BQmx_ESD_e-Sports,XL2411K,2021/6/18 05:18
10016,2021_1H_BQmx_ESD_e-Sports,XL2411K,2021/6/18 05:19
10017,2021_1H_BQmx_ESD_e-Sports,XL2546K,2021/6/18 06:25
10018,2021_1H_BQmx_ESD_e-Sports,XL2546K,2021/6/18 06:28
10019,2021_1H_BQmx_ESD_e-Sports,XL2546K,2021/6/18 06:28
10020,2021_1H_BQmx_ESD_e-Sports,XL2546K,2021/6/18 06:29
10025,PRJ_BQA_ATV projector_2020 2H,HT3550i,2021/6/18 13:07
10026,"LCD_BQE_Eye-Care Monitor (EL&EX, Casual Game)",EX3415R,2021/6/18 19:17
10027,GGP_BQE_Zowie Gear,mouse fitting kit,2021/6/18 19:22
10028,ESD_BQE_Zowie XL-Series Monitor,XL2546,2021/6/18 19:24
10029,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/18 19:32
10030,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/18 19:37
10031,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/18 19:45
10032,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/18 19:48
10033,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/18 21:31
10034,GGP_BQE_Zowie Gear,EC2-B,2021/6/18 21:31
10036,LCD_BQP_AQCOLOR_Q221,SW271C,2021/6/21 15:20
10037,LCD_BQP_AQCOLOR_Q221,SW271C,2021/6/21 15:21
10038,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/21 15:23
10039,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/21 16:20
10040,ESD_BQP_XL-K_Q221,XL2546K,2021/6/21 17:53
10041,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/21 18:48
10042,PRJ_BQA_ProfessionalInfluencer,TK700STi,2021/6/22 06:50
10043,PRJ_BQE_Home Entertainment,X1300i,2021/6/22 16:12
10044,LCD_BQE_PhotoVue Photographer Monitor,SW271C,2021/6/23 07:03
10045,LCD_BQE_PhotoVue Photographer Monitor,SW271C,2021/6/23 07:09
10046,LCD_BQE_DesignVue Designer Monitor,PD2725U,2021/6/23 07:16
10047,LCD_BQE_DesignVue Designer Monitor,PD2725U,2021/6/23 07:26
10048,LCD_BQE_DesignVue Designer Monitor,PD2725U,2021/6/23 07:32
10049,LCD_BQE_DesignVue Designer Monitor,PD2725U,2021/6/23 07:38
10050,LCD_BQE_DesignVue Designer Monitor,PD2725U,2021/6/23 07:42
10051,ESD_BQP_XL-K_Q221,XL2411K,2021/6/23 11:22
10052,LCD_BQE_DesignVue Designer Monitor,PD2725U,2021/6/23 18:11
10053,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/23 19:51
10054,LCD_BQA_Gaming Monitor_2021 1H,EX3415R,2021/6/24 09:14
10055,LCD_BQA_Gaming Monitor_2021 1H,EX3415R,2021/6/24 09:18
10056,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/24 15:16
10057,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/24 15:25
10058,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/24 18:29
10059,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/24 22:48
10060,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/24 22:50
10061,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/24 22:53
10062,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/24 22:59
10063,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/24 23:03
10064,PRJ_BQA_ProfessionalInfluencer,TK700STi,2021/6/25 01:25
10065,PRJ_BQA_Portable Projector 2020,GS2,2021/6/25 09:13
10066,LCD_BQP_AQCOLOR_Q221,PD2725U,2021/6/25 09:14
10067,LCD_BQP_AQCOLOR_Q221,PD2725U,2021/6/25 09:23
10068,LCD_BQP_AQCOLOR_Q221,PD2725U,2021/6/25 09:25
10069,LCD_BQP_AQCOLOR_Q221,PD2725U,2021/6/25 09:31
10070,LCD_BQP_AQCOLOR_Q221,PD2725U,2021/6/25 09:32
10071,LCD_BQP_AQCOLOR_Q221,PD2725U,2021/6/25 09:34
10072,LCD_BQP_AQCOLOR_Q221,PD2725U,2021/6/25 09:36
